ids,text,aspect,sentiment,entity,attribute
72:0,mac,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
B00KMRGF28_304_A35Q7MBKQZV1SA:0,use time black screen return refund,LAPTOP#QUALITY,negative,LAPTOP,QUALITY
294:0,macbook pro three week realli great comput,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
B00KMRGF28_184_A12IPRD9B0KX9P:2,howev laptop far exceed expect buy colleg use malwarebyt microsoft secur essenti run viru scan mayb week run smooth butter past two year,LAPTOP#OPERATION_PERFORMANCE,positive,LAPTOP,OPERATION_PERFORMANCE
212:0,salesman talk we comput away anoth look noth problem softwar problem happi,LAPTOP#GENERAL,negative,LAPTOP,GENERAL
122:0,strength well shape,LAPTOP#DESIGN_FEATURES,positive,LAPTOP,DESIGN_FEATURES
B00FU83YWS_145_A2ZQTQU49CF77U:2,buy parent late love particularli keyboard screen,DISPLAY#GENERAL,positive,DISPLAY,GENERAL
228:1,batteri never hold charg long one hour within two month stop hold charg ten minut,BATTERY#QUALITY,negative,BATTERY,QUALITY
336:1,need power mous cabl plug back instead side way oper mous small area,LAPTOP#DESIGN_FEATURES,negative,LAPTOP,DESIGN_FEATURES
357:2,toshiba great brand even though long time happi,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
189:14,great price,LAPTOP#PRICE,positive,LAPTOP,PRICE
B00KMRGF28_224_A2BW7RFR3C267G:3,plastic materi rather cheap,LAPTOP#QUALITY,negative,LAPTOP,QUALITY
B0096VDM8G_57_A2MZ152WGRBXCC:1,fast power screen display top notch batteri life excel laptop size,LAPTOP#DESIGN_FEATURES,neutral,LAPTOP,DESIGN_FEATURES
60:0,unabl boot brand new laptop,LAPTOP#QUALITY,negative,LAPTOP,QUALITY
B00FU83YWS_12_A35C5C6W0TIZA8:7,pleasur type,KEYBOARD#USABILITY,positive,KEYBOARD,USABILITY
239:0,need machin surf email check word process watch movi two machin want,LAPTOP#MISCELLANEOUS,positive,LAPTOP,MISCELLANEOUS
328:2,speedi connect wirelessli network regardless connect weak,LAPTOP#CONNECTIVITY,positive,LAPTOP,CONNECTIVITY
211:1,never buy refurbish cae cheap,LAPTOP#MISCELLANEOUS,negative,LAPTOP,MISCELLANEOUS
B00KMRGF28_31_AQRNSQCH3NRA5:1,love size use work nur chart daili easi use problem,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
351:4,love window give toshiba credit unless get seriou ergonom make requir connect less obtrus look differ manufactur next time,LAPTOP#DESIGN_FEATURES,negative,LAPTOP,DESIGN_FEATURES
127:5,long stori short sinc experi mani problem laptop everi sinc buy day one ask new laptop refund pay crapi laptop exten laptop warranti anoth year make big deal mani call complaint product servic final give,SUPPORT#QUALITY,negative,SUPPORT,QUALITY
172:1,awesom graphic assur secur perfect,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
207:2,homeschool kid netbook next desk get teach illustr without skip beat,LAPTOP#MISCELLANEOUS,positive,LAPTOP,MISCELLANEOUS
85:12,say enough satisfi product help aftermarket,SUPPORT#QUALITY,positive,SUPPORT,QUALITY
170:3,much worth price pay,LAPTOP#PRICE,positive,LAPTOP,PRICE
B00KMRGF28_149_A3J4TEK6ANKJHC:5,highli recommend,LAPTOP#PRICE,positive,LAPTOP,PRICE
259:7,good world power eas mac,LAPTOP#OPERATION_PERFORMANCE,positive,LAPTOP,OPERATION_PERFORMANCE
39:11,would recommend laptop anyon look get new laptop will spend littl money get great qualiti,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
177:0,great comput light home use busi use,LAPTOP#MISCELLANEOUS,positive,LAPTOP,MISCELLANEOUS
299:1,great pick portabl afford,LAPTOP#PORTABILITY,positive,LAPTOP,PORTABILITY
B00KMRGF28_149_A3J4TEK6ANKJHC:4,mous click bit loud realli problem,MOUSE#QUALITY,neutral,MOUSE,QUALITY
200:0,great laptop price work well action pack game,LAPTOP#PRICE,neutral,LAPTOP,PRICE
112:2,technic servic dell rd world might well even bother,SUPPORT#QUALITY,negative,SUPPORT,QUALITY
213:4,even though receipt front prove still month leave warranti,SUPPORT#QUALITY,negative,SUPPORT,QUALITY
193:2,glad decid upgrad,LAPTOP#GENERAL,positive,LAPTOP,GENERAL
242:0,comput ideal colleg companion,LAPTOP#MISCELLANEOUS,positive,LAPTOP,MISCELLANEOUS
32:10,wast money,LAPTOP#GENERAL,negative,LAPTOP,GENERAL
B00KMRGF28_106_AGNDXNERJ5L83:1,look good well build good speed,LAPTOP#DESIGN_FEATURES,positive,LAPTOP,DESIGN_FEATURES
243:1,realli concern portabl larg laptop hard move around take trip pleasant surpris,LAPTOP#PORTABILITY,positive,LAPTOP,PORTABILITY
155:6,love netbook minu fact window os start happen,LAPTOP#GENERAL,negative,LAPTOP,GENERAL
B00KMRGF28_386_A1QTE23J88FVZX:1,light pictur nice price amaz,DISPLAY#QUALITY,positive,DISPLAY,QUALITY
